trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,6,-106.43913574189078,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,17,-5.901707344356074,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,8,-27.53374663036638,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,5,27.38084505510582,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,10,-15.683707563841581,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,3,-42.37471610428233,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-13.727266508815587,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,2,-59.244341486600895,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,4,17.653478038738974,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,0,-26.13196968617316,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,3,29.145187617558836,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,14,20.132602488406828,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,15,0.06202604417909585,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,16,-27.964440859982084,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,0,-32.38645482238523,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,17,0.628467031524174,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,10,2.6155391953117433,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",35,20,16.31018471440934,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",35,0,-64.00487136286715,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 2}",0
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,0,-1.8677805785994588,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,-30.639706572417374,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,8,-20.434024819687725,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,19,10.367258362649387,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,9,-16.837098871893893,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,7,-30.323336576735596,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,0,-10.20757676435285,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,15,14.080043332817157,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
